name,type,height,perimeter,width,route,route_name,route_nickname,route_type,longitude,latitude
イチョウ,高木,9,141,4,9,川崎府中線,多摩川通り,主要地方道,139.4995932,35.64437482
クスノキ,高木,10,128,3,9,川崎府中線,多摩川通り,主要地方道,139.4995417,35.65947185
イチョウ,高木,9,125,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4995399,35.64458732
イチョウ,高木,9,116,4,9,川崎府中線,多摩川通り,主要地方道,139.4994999,35.64442104
イチョウ,高木,9,104,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4994652,35.64461981
シラカシ,高木,7,71,3,9,川崎府中線,多摩川通り,主要地方道,139.4994263,35.64463879
イチョウ,高木,9,119,4,9,川崎府中線,多摩川通り,主要地方道,139.4994019,35.64446253
シラカシ,高木,7,77,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4993587,35.64467017
イチョウ,高木,9,126,4.5,9,川崎府中線,多摩川通り,主要地方道,139.4993445,35.64448826
イチョウ,高木,9,115,3,9,川崎府中線,多摩川通り,主要地方道,139.4993184,35.64468593
イチョウ,高木,9,117,4,9,川崎府中線,多摩川通り,主要地方道,139.4992869,35.64450593
イチョウ,高木,9,117,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4992863,35.64470001
イチョウ,高木,3.5,30,1,9,川崎府中線,多摩川通り,主要地方道,139.4992267,35.64472809
シラカシ,高木,8,85,3.5,9,川崎府中線,多摩川通り,主要地方道,139.499174,35.6447523
イチョウ,高木,9,129,4,9,川崎府中線,多摩川通り,主要地方道,139.4991659,35.64456043
イチョウ,高木,9,106,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4991376,35.64476946
イチョウ,高木,9,111,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4990583,35.64480487
イチョウ,高木,9,109,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4989724,35.64484562
イチョウ,高木,9,110,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4989114,35.64486865
クスノキ,高木,8,107,4,9,川崎府中線,多摩川通り,主要地方道,139.4986491,35.6595609
クスノキ,高木,8,114,4,9,川崎府中線,多摩川通り,主要地方道,139.4985364,35.6595674
イチョウ,高木,8.5,107,3,9,川崎府中線,多摩川通り,主要地方道,139.4984603,35.64488536
クスノキ,高木,9,114,4,9,川崎府中線,多摩川通り,主要地方道,139.4983955,35.65957606
イチョウ,高木,8.5,94,3,9,川崎府中線,多摩川通り,主要地方道,139.4983454,35.64493711
イチョウ,高木,9,130,4,9,川崎府中線,多摩川通り,主要地方道,139.4983096,35.64514082
クスノキ,高木,9,124,4,9,川崎府中線,多摩川通り,主要地方道,139.4982897,35.65958155
イチョウ,高木,8.5,102,3,9,川崎府中線,多摩川通り,主要地方道,139.498288,35.64496194
イチョウ,高木,9,125,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4982408,35.64517189
イチョウ,高木,8.5,101,3,9,川崎府中線,多摩川通り,主要地方道,139.4982312,35.64498966
クスノキ,高木,7,92,2,9,川崎府中線,多摩川通り,主要地方道,139.4981955,35.65958597
イチョウ,高木,9,110,3,9,川崎府中線,多摩川通り,主要地方道,139.498169,35.64520308
クスノキ,高木,9,135,4,9,川崎府中線,多摩川通り,主要地方道,139.4980848,35.65959181
イチョウ,高木,8.5,105,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4980411,35.64507567
クスノキ,高木,9,131,4,9,川崎府中線,多摩川通り,主要地方道,139.4979214,35.65960084
イチョウ,高木,8.5,102,3,9,川崎府中線,多摩川通り,主要地方道,139.4978888,35.64514195
イチョウ,高木,10,99,3,9,川崎府中線,多摩川通り,主要地方道,139.4978679,35.64533618
イチョウ,高木,10,81,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4978076,35.64536358
イチョウ,高木,6,58,1.5,9,川崎府中線,多摩川通り,主要地方道,139.4977439,35.64520731
クスノキ,高木,9,144,4,9,川崎府中線,多摩川通り,主要地方道,139.4977427,35.65961346
イチョウ,高木,10,98,3,9,川崎府中線,多摩川通り,主要地方道,139.497703,35.64541176
イチョウ,高木,9.5,102,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4976406,35.64544005
クスノキ,高木,9,103,4,9,川崎府中線,多摩川通り,主要地方道,139.4976113,35.65961752
イチョウ,高木,8.5,91,3,9,川崎府中線,多摩川通り,主要地方道,139.4975846,35.64527777
イチョウ,高木,9.5,95,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4975761,35.64546771
イチョウ,高木,8.5,94,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4975243,35.64530488
クスノキ,高木,9,132,4,9,川崎府中線,多摩川通り,主要地方道,139.4975224,35.65962101
イチョウ,高木,9.5,109,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4975109,35.64549756
イチョウ,高木,8.5,,2.5,9,川崎府中線,多摩川通り,主要地方道,139.497468,35.64533146
クスノキ,高木,9,132,4,9,川崎府中線,多摩川通り,主要地方道,139.4974381,35.65962539
イチョウ,高木,8.5,97,3,9,川崎府中線,多摩川通り,主要地方道,139.497409,35.64535821
クスノキ,高木,9,131,4,9,川崎府中線,多摩川通り,主要地方道,139.4972787,35.65962955
イチョウ,高木,9,108,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4972734,35.6454185
イチョウ,高木,12,119,5.5,9,川崎府中線,多摩川通り,主要地方道,139.4971839,35.64565432
クスノキ,高木,9,128,4,9,川崎府中線,多摩川通り,主要地方道,139.4971265,35.65963173
イチョウ,高木,12,121,5.5,9,川崎府中線,多摩川通り,主要地方道,139.4971107,35.6456858
クスノキ,高木,9,153,3,9,川崎府中線,多摩川通り,主要地方道,139.4969552,35.65962511
イチョウ,高木,12,124,5.5,9,川崎府中線,多摩川通り,主要地方道,139.4969527,35.64574985
イチョウ,高木,9,101,3.5,9,川崎府中線,多摩川通り,主要地方道,139.496877,35.64559659
クスノキ,高木,9,119,3,9,川崎府中線,多摩川通り,主要地方道,139.4968573,35.65962292
イチョウ,高木,9,76,2.5,9,川崎府中線,多摩川通り,主要地方道,139.4968295,35.64561746
イチョウ,高木,9,92,3,9,川崎府中線,多摩川通り,主要地方道,139.4968148,35.64562295
イチョウ,高木,9,,3.5,9,川崎府中線,多摩川通り,主要地方道,139.496777,35.64563997
クスノキ,高木,9,115,3,9,川崎府中線,多摩川通り,主要地方道,139.4967658,35.65961776
イチョウ,高木,9,,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4966989,35.64567359
クスノキ,高木,9,116,3,9,川崎府中線,多摩川通り,主要地方道,139.4966865,35.65961199
イチョウ,高木,9,104,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4966231,35.64570857
クスノキ,高木,8,115,3,9,川崎府中線,多摩川通り,主要地方道,139.4965722,35.65960578
イチョウ,高木,9,106,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4965452,35.64574374
イチョウ,高木,9,117,3,9,川崎府中線,多摩川通り,主要地方道,139.4964458,35.64597563
ハナミズキ,高木,5,38,2,9,川崎府中線,多摩川通り,主要地方道,139.4963699,35.65958606
ハナミズキ,高木,3,13,2,9,川崎府中線,多摩川通り,主要地方道,139.4963239,35.65968986
イチョウ,高木,9,88,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4963144,35.64584776
イチョウ,高木,10,107,3,9,川崎府中線,多摩川通り,主要地方道,139.4962699,35.64605993
ハナミズキ,高木,5,43,3,9,川崎府中線,多摩川通り,主要地方道,139.4962661,35.65957458
イチョウ,高木,9,99,4,9,川崎府中線,多摩川通り,主要地方道,139.4962306,35.6458889
ハナミズキ,高木,5,49,3,9,川崎府中線,多摩川通り,主要地方道,139.4962188,35.65967858
イチョウ,高木,10,97,3,9,川崎府中線,多摩川通り,主要地方道,139.4962026,35.64609851
